AAPL,MSFT,GOOG,AMZN,BABA,TCEHY,SSNLF,NVDA,INTC,TSM,ADBE,ORCL,CRM,NFLX,PYPL,TSLA,IBM,CSCO
40.67096710205078,80.08092498779297,53.25,59.45050048828125,181.2139892578125,50.614234924316406,5.030255071394829e+22,49.31047058105469,39.74064254760742,34.79004669189453,177.6999969482422,42.11923599243164,104.41000366210938,201.07000732421875,73.83999633789062,21.368667602539062,109.54768371582031,32.15681838989258
40.66389465332031,80.45359802246094,54.124000549316406,60.209999084472656,181.55935668945312,50.88356018066406,5.030255071394829e+22,52.555789947509766,38.39191818237305,35.37525939941406,181.0399932861328,43.09477233886719,105.29000091552734,205.0500030517578,76.75,21.149999618530273,112.55892181396484,32.413333892822266
40.8527717590332,81.1617202758789,54.31999969482422,60.47949981689453,183.24668884277344,51.580081939697266,5.030255071394829e+22,52.83283233642578,37.6878776550293,35.18866729736328,183.22000122070312,43.51930618286133,106.68000030517578,205.6300048828125,76.7300033569336,20.974666595458984,114.83866882324219,32.50503921508789
41.317901611328125,82.16796875,55.11149978637695,61.457000732421875,188.1704864501953,51.88655090332031,5.030255071394829e+22,53.28053665161133,37.950836181640625,36.01134490966797,185.33999633789062,43.78125762939453,108.0999984741211,209.99000549316406,78.69999694824219,21.10533332824707,115.39971923828125,32.955230712890625
41.1644287109375,82.2518081665039,55.34700012207031,62.34349822998047,187.80538940429688,52.44377899169922,5.030255071394829e+22,54.91310119628906,37.950836181640625,35.994388580322266,185.0399932861328,44.241912841796875,108.86000061035156,212.0500030517578,79.05000305175781,22.42733383178711,116.09569549560547,33.297035217285156
41.15970993041992,82.19590759277344,55.3129997253418,62.6349983215332,188.2691650390625,52.99171447753906,5.030255071394829e+22,54.898258209228516,37.000789642333984,35.77387619018555,186.6999969482422,44.48674392700195,109.1500015258789,209.30999755859375,79.19000244140625,22.246000289916992,116.35137939453125,33.08861541748047
41.1502685546875,81.82322692871094,55.13050079345703,62.71649932861328,187.27255249023438,52.02585983276367,5.030255071394829e+22,55.32865905761719,36.05074691772461,35.027530670166016,187.11000061035156,44.250980377197266,108.80000305175781,212.52000427246094,79.37000274658203,22.31999969482422,116.59993743896484,33.27200698852539
41.38400650024414,82.0654525756836,55.2760009765625,63.83399963378906,186.24635314941406,51.403629302978516,5.030255071394829e+22,55.42759323120117,36.82265090942383,34.79853820800781,188.9199981689453,44.387001037597656,109.0999984741211,217.24000549316406,79.75,22.530000686645508,116.61414337158203,33.43041229248047
41.81134796142578,83.481689453125,56.112998962402344,65.26000213623047,185.299072265625,52.86168670654297,5.030255071394829e+22,55.15550231933594,36.678443908691406,34.934226989746094,195.0500030517578,44.8947868347168,110.23999786376953,221.22999572753906,80.54000091552734,22.4146671295166,115.86133575439453,34.07234573364258
41.59886169433594,82.3170394897461,56.0880012512207,65.24299621582031,179.98057556152344,52.37876892089844,5.030255071394829e+22,54.44559097290039,36.59363555908203,35.81626892089844,192.4600067138672,44.96734619140625,108.88999938964844,221.52999877929688,80.41999816894531,22.67066764831543,116.36555480957031,33.797245025634766
42.28591537475586,83.98480987548828,56.5989990234375,64.75,181.39161682128906,53.7903938293457,5.030255071394829e+22,55.58590316772461,37.6539421081543,36.57958984375,196.49000549316406,45.58395004272461,110.04000091552734,217.5,82.47000122070312,23.143999099731445,119.77452087402344,34.34746170043945
42.323692321777344,83.94752502441406,56.489498138427734,64.66600036621094,181.95404052734375,53.32604217529297,5.030255071394829e+22,55.51664352416992,37.730289459228516,37.80088806152344,196.1999969482422,45.54767990112305,111.7699966430664,220.3300018310547,82.94000244140625,22.971332550048828,120.1082992553711,34.430824279785156
42.13481140136719,83.8543701171875,56.8754997253418,64.72899627685547,181.60870361328125,54.05043029785156,4.875818533692966e+22,56.91914749145508,38.01869201660156,37.885704040527344,195.72999572753906,45.865055084228516,111.93000030517578,220.4600067138672,83.83999633789062,23.334667205810547,115.31449127197266,34.42249298095703
41.79010772705078,85.35443115234375,57.79050064086914,66.3655014038086,181.5791015625,55.23917007446289,4.875818533692966e+22,57.804691314697266,38.80756759643555,39.33599090576172,197.83999633789062,45.982933044433594,112.88999938964844,227.5800018310547,83.9800033569336,23.437332153320312,115.47782897949219,34.730960845947266
41.79954528808594,85.62461853027344,58.49850082397461,68.12699890136719,189.72952270507812,56.51148986816406,4.875818533692966e+22,59.09589767456055,39.07052993774414,39.25118637084961,200.08999633789062,46.35471725463867,113.23999786376953,250.2899932861328,84.20999908447266,23.519332885742188,118.07003021240234,35.09777069091797
41.13373947143555,85.55009460449219,58.21200180053711,67.87550354003906,192.93641662597656,55.81495666503906,4.875818533692966e+22,58.32661819458008,38.60398483276367,38.445465087890625,197.77999877929688,46.653953552246094,112.8499984741211,261.29998779296875,83.70999908447266,23.05933380126953,117.445068359375,35.15613555908203
40.39945602416992,86.02525329589844,58.51850128173828,68.89749908447266,195.69927978515625,54.830543518066406,4.875818533692966e+22,58.46265411376953,38.42585372924805,38.25038528442383,197.50999450683594,46.78997039794922,111.95999908447266,269.70001220703125,84.33999633789062,22.50933265686035,117.5160903930664,34.9310417175293
40.49390411376953,87.63713073730469,58.79199981689453,70.10250091552734,202.49789428710938,56.613643646240234,4.875818533692966e+22,60.189208984375,42.480499267578125,38.776222229003906,201.3000030517578,47.832767486572266,113.69999694824219,274.6000061035156,85.44999694824219,22.856666564941406,118.84412384033203,35.48126220703125
